split	en	bn
train	There is a hall in the window.	হলে একটি জানালা আছে।
train	Please wait for the teacher this morning.	দয়া করে আজ সকালে শিক্ষকের জন্য অপেক্ষা করুন।
train	after class, the family listens to music.	ক্লাসের পরে পরিবারটি গান শোনে।
train	The programmer uses the computer to solve a problem.	প্রোগ্রামার কম্পিউটার ব্যবহার করে একটি সমস্যা সমাধান করতে।
train	Where can I buy a notebook in this village?	আমি এই গ্রামে একটি খাতা কোথায় কিনতে পারি?
train	The student planted a tree in the evening.	শিক্ষার্থী সন্ধ্যায় একটি গাছ লাগিয়েছে।
train	The shirt is yellow.	শার্টটি হলুদ।
train	Please send the message before class.	দয়া করে ক্লাসের আগে বার্তাটি পাঠান।
train	the doctor goes to the hospital every week.	ডাক্তার প্রতি সপ্তাহে হাসপাতালে যায়।
train	We measured inference time for the validation set.	আমরা ভ্যালিডেশন সেটের ইনফারেন্স সময় পরিমাপ করেছি।
train	Where can I buy a new shirt in the city center?	আমি শহরের কেন্দ্রে একটি নতুন শার্ট কোথায় কিনতে পারি?
train	My friend will finish the project before noon.	আমার বন্ধু দুপুরের আগে প্রকল্পটি শেষ করবে।
train	The pharmacy is hospital the in front of.	ওষুধের দোকানটি হাসপাতালটির সামনে।
train	The technician uses the computer to store information.	প্রযুক্তিবিদ কম্পিউটার ব্যবহার করে তথ্য সংরক্ষণ করতে।
train	There is a living room in the table.	বসার ঘরে একটি টেবিল আছে।
train	The shirt is purple.	শার্টটি বেগুনি।
train	The attention model is trained for question answering.	অ্যাটেনশন মডেলটি প্রশ্নোত্তরের জন্য প্রশিক্ষিত।
train	We measured training loss for the training set.	আমরা প্রশিক্ষণ সেটের প্রশিক্ষণ লস পরিমাপ করেছি।
train	The pharmacy is library the to the left of.	ওষুধের দোকানটি গ্রন্থাগারটির বাম পাশে।
train	Please write your name this morning.	দয়া করে আজ সকালে আপনার নাম লিখুন।
train	The physiotherapist explained stress management to the patient.	ফিজিওথেরাপিস্ট রোগীকে মানসিক চাপ নিয়ন্ত্রণ সম্পর্কে বুঝিয়ে বলেছেন।
train	There is a hall in the computer.	হলে একটি কম্পিউটার আছে।
train	There is a waiting room in the telephone.	অপেক্ষাকক্ষে একটি টেলিফোন আছে।
train	The student sent the email during the break.	শিক্ষার্থী বিরতির সময় ইমেইলটি পাঠিয়েছে।
train	The traveler goes to Khulna by car.	ভ্রমণকারী খুলনায় গাড়িতে যায়।
train	my brother reads an article every evening.	আমার ভাই প্রতিদিন সন্ধ্যায় একটি নিবন্ধ পড়ে।
train	my sister can solve puzzles very well.	আমার বোন খুব ভালোভাবে ধাঁধা সমাধান করতে পারে।
train	the teacher goes to the library every week.	শিক্ষক প্রতি সপ্তাহে গ্রন্থাগারে যায়।
train	The student studies chemistry on Friday.	শিক্ষার্থী রসায়ন শুক্রবার পড়ে।
train	the farmer goes to the museum every week.	কৃষক প্রতি সপ্তাহে জাদুঘরে যায়।
train	The pharmacy is post office the opposite.	ওষুধের দোকানটি ডাকঘরটির বিপরীতে।
train	The baseline model is trained for intent detection.	বেসলাইন মডেলটি উদ্দেশ্য শনাক্তকরণের জন্য প্রশিক্ষিত।
train	The pharmacy is school the in front of.	ওষুধের দোকানটি স্কুলটির সামনে।
train	Please close the window now.	দয়া করে এখন জানালাটি বন্ধ করুন।
train	Where can I buy a bus pass in the airport?	আমি বিমানবন্দরে একটি বাস পাস কোথায় কিনতে পারি?
train	The engineer uses the computer to write code.	প্রকৌশলী কম্পিউটার ব্যবহার করে কোড লিখতে।
train	The engineer uses the computer to prepare a presentation.	প্রকৌশলী কম্পিউটার ব্যবহার করে একটি উপস্থাপনা প্রস্তুত করতে।
train	The book is yellow.	বইটি হলুদ।
train	There is a bedroom in the chair.	শোবার ঘরে একটি চেয়ার আছে।
train	The traveler goes to Rajshahi by car.	ভ্রমণকারী রাজশাহীতে গাড়িতে যায়।
train	my brother can solve puzzles very well.	আমার ভাই খুব ভালোভাবে ধাঁধা সমাধান করতে পারে।
